LastUpdate;Country;Category;Indicator (text in app);Cod.Category;Cod.Indicator;value;comment
15-06-20;AUT;;National information;1;1;;PLEASE DO NOT FILL THIS FIELD
15-06-20;AUT;;Regional information;1;2;;"<a href=""https://www.austria.info/en/where-to-go/provinces/burgenland"">Burgenland </a><br><a href=""https://www.visitcarinthia.at/"">Kärnten</a><br><a href=""https://www.lower-austria.info/"">Niederösterreich</a><br><a href=""https://www.upperaustria.com/en/"">Oberösterreich</a><br><a href=""https://www.salzburg.info/en"">Salzburg</a><br><a href=""https://www.steiermark.com/en/trip-planning"">Steiermark</a><br><a href=""https://www.tyrol.com/"">Tirol</a><br><a href=""https://www.vorarlberg.travel/en/"">Vorarlberg</a><br><a href=""https://www.wien.info/en"">Wien</a><br>"
15-06-20;AUT;;EU initiatives;1;3;;PLEASE DO NOT FILL THIS FIELD
15-06-20;AUT;;Voucher schemes;3;10;;
15-06-20;AUT;Info;National website with coronavirus related information for TOURISM;1;5;;"<a href=""https://www.austria.info/"">Tourism Austria</a>"
15-06-20;AUT;Info;National website with coronavirus related inofrmation for TRANSPORT;1;6;;
15-06-20;AUT;Info;National website on the coronavirus ;1;7;;"<a href=""http://sozialministerium.at"">http://sozialministerium.at</a>"
15-06-20;AUT;Info;National coronavirus helpline ;1;8;;+43 800 555 621
15-06-20;AUT;Info;Restrictions on the provision of tourist services at national or sub-national/regional level;1;9;;
15-06-20;AUT;Info;Useful Info for tourists;1;10;;"Before starting your journey, please check visa requirements for your destination at: <a href=""https://ec.europa.eu/home-affairs/what-we-do/policies/borders-and-visas/visa-policy/schengen_visa_en"">The Schengen visa</a>"
15-06-20;AUT;Travel;May I freely move within this country?;2;1;Y;
15-06-20;AUT;Travel;From within the EU/EEA, may I enter or exit this country for tourism? ;2;2;WL;Austria's borders are open to EU, EFTA (European Free Trade Association) and EEA (European Economic Area) countries, with the exception of Sweden, United Kingdom, Spain and Portugal.
15-06-20;AUT;Travel;May I transit this country?;2;3;Y;Transit without further stops in Austria is allowed.
15-06-20;AUT;Travel;May I enter this country by car/motorbike/camper?;2;4;Y;Austria's borders are open to EU, EFTA (European Free Trade Association) and EEA (European Economic Area) countries, with the exception of Sweden, United Kingdom, Spain and Portugal.
15-06-20;AUT;Travel;May I enter this country by train?;2;5;Y;Austria's borders are open to EU, EFTA (European Free Trade Association) and EEA (European Economic Area) countries, with the exception of Sweden, United Kingdom, Spain and Portugal.
15-06-20;AUT;Travel;May I enter this country by bus or coach?;2;6;Y;Austria's borders are open to EU, EFTA (European Free Trade Association) and EEA (European Economic Area) countries, with the exception of Sweden, United Kingdom, Spain and Portugal.
15-06-20;AUT;Travel;May I enter this country by sea transport?;2;7;;
15-06-20;AUT;Travel;May I fly to this country?;2;8;WL;
15-06-20;AUT;Travel;As a third-country national coming from outside the EU/EEA, May I enter this country without restrictions?;2;9;N;
15-06-20;AUT;Travel;May I enter this country without being subject to a mandatory quarantine?;2;10;WL;From June 16, anyone who comes from any EU country except United Kingdom, Sweden, Spain and Portugal will be able to do so without a medical certificate and quarantine.
15-06-20;AUT;Travel;May I enter this country without a medical certificate or a negative test?;2;11;WL;From June 16, anyone who comes from any EU country except United Kingdom, Sweden, Spain and Portugal, will be able to do so without a medical certificate and quarantine.
15-06-20;AUT;Services;Are non-essential shops open?;3;1;Y;The obligation to wear masks remains in force and a safety distance of one metre must be maintained.
15-06-20;AUT;Services;Are tourism accommodations open?;3;2;Y;Hotels are open (booking is required). Guests have to wear a mouth and nose protection at the entrance and at the reception area. Staff must wear the mask throughout the entire property.
15-06-20;AUT;Services;Are restaurants open?;3;3;Y;Closing time at 01:00 for all cafés, bars and restaurants. Minimum of 1 metre distance between tables. Clients must be seated and shall book their table in advance. Waiters have to wear masks indoors.
15-06-20;AUT;Services;Are bars & cafés open?;3;4;Y;Closing time at 01:00 for all cafés, bars and restaurants. Minimum of 1 metre distance between tables. Clients must be seated and shall book their table in advance. Waiters have to wear masks indoors.
15-06-20;AUT;Services;Are beaches and tourist areas openly accessible?;3;5;Y;Tourist sites may open if they can ensure the 1 metre distance rule for their visitors. Visitors of such sites must wear masks indoors. 
15-06-20;AUT;Services;Are museums & heritage sites open?;3;6;Y;Visitors are required to wear nose and mouth protections and respect distancing rules. Furthermore, the number of visitors need to be limited.
15-06-20;AUT;Services;Are personal care services available?;3;7;Y;Strict restrictions are in place.
15-06-20;AUT;Services;Are places of worship accessible?;3;8;Y;
15-06-20;AUT;Services;Are arrangements for “closed door” (i.e. organised coach tours without intermediate pickup) tourism packages available?;3;9;N;
15-06-20;AUT;Health & Safety;Are there any risk areas under lockdown in this country?;4;1;N;
15-06-20;AUT;Health & Safety;Is a mask required in public?;4;2;;The usage of a face mask is mandatory in public places. 
15-06-20;AUT;Health & Safety;Is physical distancing required?;4;3;;A physical distance of 1-metre must be respected.
15-06-20;AUT;Health & Safety;Health protocols for tourism services and tourists;4;4;;"<a href=""https://www.sichere-gastfreundschaft.at"">Sichere gastfreundschaft</a><br><a href=""https://www.austria.info/en"">Safe hospitality</a>"
15-06-20;AUT;Health & Safety;Safety measures for public transportation;4;5;;Wearing a mask is mandatory on public transport.
15-06-20;AUT;Health & Safety;Other measures;4;6;;
15-06-20;AUT;Health & Safety;Recommended contact tracing app;4;7;;A contact tracing online tool for supporting public authorities regarding the contact tracing process has been planned. 
15-06-20;AUT;Health & Safety;Gatherings;4;8;;Indoor and outdoor events of up to 100 people are allowed. From 1 July, indoor and outdoor events of up to 250 people for indoor events and up to 500 people for outdoor events are allowed. from 1 August, indoor events for up to 1,000 people and outdoor events for up to 1,250 people will be permitted. 
27-06-20;AUT;;National information;1;1;;PLEASE DO NOT FILL THIS FIELD
27-06-20;AUT;;Regional information;1;2;;"<a href=""https://www.austria.info/en/where-to-go/provinces/burgenland"">Burgenland </a><br><a href=""https://www.visitcarinthia.at/"">Kärnten</a><br><a href=""https://www.lower-austria.info/"">Niederösterreich</a><br><a href=""https://www.upperaustria.com/en/"">Oberösterreich</a><br><a href=""https://www.salzburg.info/en"">Salzburg</a><br><a href=""https://www.steiermark.com/en/trip-planning"">Steiermark</a><br><a href=""https://www.tyrol.com/"">Tirol</a><br><a href=""https://www.vorarlberg.travel/en/"">Vorarlberg</a><br><a href=""https://www.wien.info/en"">Wien</a><br>"
27-06-20;AUT;;EU initiatives;1;3;;PLEASE DO NOT FILL THIS FIELD
27-06-20;AUT;;Voucher schemes;3;10;;
27-06-20;AUT;Info;National website with coronavirus related information for TOURISM;1;5;;"<a href=""https://www.austria.info/"">Tourism Austria</a>"
27-06-20;AUT;Info;National website with coronavirus related inofrmation for TRANSPORT;1;6;;"<a href=""www.bmk.gv.at/"">Federal Ministry for Climate Protection, Environment, Energy, Mobility, Innovation and Technology. </a>"
27-06-20;AUT;Info;National website on the coronavirus ;1;7;;"<a href=""http://sozialministerium.at"">http://sozialministerium.at</a>"
27-06-20;AUT;Info;National coronavirus helpline ;1;8;;43800201611
27-06-20;AUT;Info;Restrictions on the provision of tourist services at national or sub-national/regional level;1;9;;
27-06-20;AUT;Info;Useful Info for tourists;1;10;;"Before starting your journey, please check visa requirements for your destination at: <a href=""https://ec.europa.eu/home-affairs/what-we-do/policies/borders-and-visas/visa-policy/schengen_visa_en"">The Schengen visa</a>"
27-06-20;AUT;Travel;May I freely move within this country?;2;1;Y;
27-06-20;AUT;Travel;From within the EU/EEA, may I enter or exit this country for tourism? ;2;2;WL;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at
27-06-20;AUT;Travel;May I transit this country?;2;3;Y;Transit without further stops in Austria is allowed.
27-06-20;AUT;Travel;May I enter this country by car/motorbike/camper?;2;4;Y;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at
27-06-20;AUT;Travel;May I enter this country by train?;2;5;Y;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at
27-06-20;AUT;Travel;May I enter this country by bus or coach?;2;6;Y;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at
27-06-20;AUT;Travel;May I enter this country by sea transport?;2;7;;
27-06-20;AUT;Travel;May I fly to this country?;2;8;WL;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at
27-06-20;AUT;Travel;As a third-country national coming from outside the EU/EEA, May I enter this country without restrictions?;2;9;N;No. Third country nationals from outside the EU and Schengen area are prohibited from entering the country. You can find exceptions to this rule here: www.sozialministerium.at
